,date,open,high,low,close,volume,trades
0,2013-10-06,122.0,122.0,122.0,122.0,0.1,1
1,2013-10-07,123.61,123.61,123.61,123.61,0.1,1
2,2013-10-08,123.91,124.19,123.9,124.18,3.9916,4
3,2013-10-09,124.01687,124.01687,123.84,123.84,2.823,3
4,2013-10-10,125.85,125.86,125.85,125.86,2.0,2
5,2013-10-12,127.5,127.5,127.0,127.0,4.0,3
6,2013-10-13,131.8408,131.8408,131.8408,131.8408,0.1,1
7,2013-10-14,134.8,135.59,133.36726,135.59,12.00575337,11
8,2013-10-15,135.8,153.0,133.87975,133.87975,4.3,5
9,2013-10-16,143.0,146.14,137.63758,138.09,20.229,17
10,2013-10-17,137.62448,144.73,137.52,143.79522,5.777,6
11,2013-10-18,146.2399,153.80147,146.2399,149.04856,23.551,23
12,2013-10-19,157.74,171.25,157.64,165.56,72.545,66
13,2013-10-20,166.52626,166.52626,162.981,162.981,4.84841803,5
14,2013-10-21,165.0,176.65277,165.0,176.32429,18.30269,19
15,2013-10-22,181.97,194.2,150.0,150.0,7.37587686,7
16,2013-10-23,191.62198,203.45,185.90287,203.45,39.22,39
17,2013-10-24,203.67412,207.30246,169.9201,193.0999,83.72097523,90
18,2013-10-25,172.27,186.8,171.97,186.0499,67.2,39
19,2013-10-26,185.8,185.8,179.8656,184.58,11.0,10
20,2013-10-27,182.3,191.3,179.23624,191.0,69.90739,51
21,2013-10-29,195.0,195.0,195.0,195.0,0.62564102,1
22,2013-10-30,195.0,203.94,195.0,203.77,9.72274898,12
23,2013-10-31,199.0,202.27,199.0,202.1,2.26,6
24,2013-11-01,203.59999,207.96822,202.9,202.9,33.98053314,117
25,2013-11-02,202.68,204.24,201.04,203.51,7.05555555,13
26,2013-11-03,204.662,209.748,203.47,209.748,9.58525942,120
27,2013-11-04,209.748,229.97,209.4001,226.9001,71.17542108,484
28,2013-11-05,227.39493,250.14053,222.05236,244.95532,25.22136406,309
29,2013-11-06,245.69019,269.42566,245.69019,263.73672,49.46076368,274
30,2013-11-07,262.8628,348.4093,262.8628,289.62884,32.79999637,177
31,2013-11-08,295.51602,330.64785,295.51602,330.64785,6.22530641,24
32,2013-11-09,340.0,350.0,312.01,338.68,14.72330453,34
33,2013-11-10,321.9202,400.0,289.18978,317.0,45.8385494,63
34,2013-11-11,350.5738,362.5306,329.72864,340.725,17.97582053,28
35,2013-11-12,360.0,500.0,346.55506,355.0,50.9990239,51
36,2013-11-13,365.0,406.0,365.0,398.0,26.14386347,61
37,2013-11-14,405.55474,425.84138,404.8,425.62096,15.0963141,72
38,2013-11-15,421.62096,435.0,387.91236,410.0,100.37766183,160
39,2013-11-16,414.8989,444.50734,414.8989,438.0,23.29680432,29
40,2013-11-17,444.44,491.50107,430.0,491.50107,16.82612919,88
41,2013-11-18,496.36498,700.0,496.36498,700.0,41.09771376,294
42,2013-11-19,700.0,800.0,484.0,587.52083,54.89126149,522
43,2013-11-20,581.7009,636.94821,450.0,591.81,56.77094125,350
44,2013-11-21,600.0,720.0,583.11045,670.06042,72.06500951,401
45,2013-11-22,672.31667,810.0,642.70057,796.56582,18.09444637,357
46,2013-11-23,796.34865,904.0765,768.76234,830.75754,43.07371045,231
47,2013-11-24,838.97872,838.97872,760.38,808.33476,13.31504524,113
48,2013-11-25,805.0,818.36641,730.0,801.59886,10.85301152,272
49,2013-11-26,801.59886,900.0,768.58034,893.87025,13.84662167,351
50,2013-11-27,893.9,1081.09181,890.0,994.95,46.41314502,782
51,2013-11-28,994.95,1088.41486,935.0806,1000.32893,33.03036408,443
52,2013-11-29,1012.39302,1198.8009,1012.39302,1165.425,34.82728925,562
53,2013-11-30,1155.62219,1189.10145,1094.38283,1114.24001,22.76152285,365
54,2013-12-01,1112.01598,1130.0,770.0,953.72943,52.50557639,905
55,2013-12-02,952.89757,1059.0,946.14514,1022.9544,36.88923603,369
56,2013-12-03,1031.15439,1076.52087,995.4975,1063.46318,23.27089023,340
57,2013-12-04,1051.2966,1120.0,981.75885,1079.93122,40.35283498,539
