date,close,open_yesterday,high_yesterday,low_yesterday,close_yesterday,volume_yesterday,trades_yesterday,open_1D_change,high_1D_change,low_1D_change,close_1D_change,volume_1D_change,trades_1D_change,open_average_7D,high_average_7D,low_average_7D,close_average_7D,volume_average_7D,trades_average_7D,open_%change_7D,high_%change_7D,low_%change_7D,close_%change_7D,volume_%change_7D,trades_%change_7D,moving_average_9,moving_average_20,moving_average_50
2013-11-27,994.95,801.59886,900.0,768.58034,893.87025,13.84662167,351.0,-0.004225018633540412,0.09975188253388856,0.05284978082191771,0.11510918316425767,0.27583220974964906,0.2904411764705883,727.9919714285714,804.0528342857142,671.9333857142857,770.4282357142857,32.57411228714285,296.42857142857144,0.0843936948674576,0.030571907114462688,0.06401742994119046,0.02503360305909081,0.056438003631605636,0.14647326386088144,742.2798311111111,540.76611,319.1944352
2013-11-28,1000.32893,893.9,1081.09181,890.0,994.95,46.41314502,782.0,0.11514629649049146,0.2012131222222222,0.15797913852441248,0.11308100924043507,2.3519472204948317,1.2279202279202277,772.5918428571429,867.5019199999999,734.7905285714286,828.0196642857143,31.09442711142857,358.14285714285717,0.02518260752559969,0.024414012782569224,0.0751261221207336,0.0644327047356174,0.04789573308699351,0.07717768848787511,775.0520533333333,576.032168,336.65343520000005
2013-11-29,1165.425,994.95,1088.41486,935.0806,1000.32893,33.03036408,443.0,0.11304396464928979,0.006773754025571899,0.05065235955056191,0.005406231468918055,-0.28834031682690753,-0.4335038363171355,829.0132714285713,920.1326142857142,785.0719785714285,875.2008800000001,25.51804919285714,364.14285714285717,0.0657747519222005,0.08227513560002954,0.10772998960769217,0.07954421233373418,0.3789962363559819,0.29966656614916654,820.9196200000001,609.516222,354.1878138
2013-11-30,1114.24001,1012.39302,1198.8009,1012.39302,1165.425,34.82728925,562.0,0.01753155434946474,0.10141908573354086,0.08267995293667729,0.1650417828063815,0.05440222110927451,0.2686230248306998,877.5956071428571,975.6755999999999,837.8851857142856,927.8950485714286,27.90845531857143,393.42857142857144,0.07742990125018483,0.06461564656818598,0.07270875525777244,0.06142764544465546,0.2993191069015415,0.21692112014467782,884.6546199999999,650.853472,375.0127138
2013-12-01,953.72943,1155.62219,1189.10145,1094.38283,1114.24001,22.76152285,365.0,0.141475856876216,-0.008090959891671634,0.08098614705976548,-0.04391959156530878,-0.34644575158831814,-0.35053380782918153,928.9203985714286,1016.3934499999999,884.4023985714285,968.3925442857143,25.006714232857146,412.57142857142856,0.06271615425248932,0.0612469445301204,0.06992110023164362,0.05803404237328569,0.4140787030638527,0.2709709359469972,934.0079077777777,690.7154725,394.820714
2013-12-02,1022.9544,1112.01598,1130.0,770.0,953.72943,52.50557639,905.0,-0.03773396736177259,-0.04970261368363493,-0.2964070900125507,-0.14405386501961992,1.3067690477484906,1.4794520547945207,967.9257214285715,1057.9679185714285,885.7766842857143,989.1632114285715,30.605361539999997,525.7142857142857,0.056572067627445745,0.04349911780838248,0.05346999852173916,0.04562782778625737,0.16737310769369904,0.2713148457529125,951.4705311111112,721.365694,411.3781026
2013-12-03,1063.46318,952.89757,1059.0,946.14514,1022.9544,36.88923603,369.0,-0.14309003904782014,-0.06283185840707961,0.22875992207792195,0.07258344748782686,-0.2974225107825733,-0.5922651933701657,989.0539457142858,1092.3441457142858,916.6545614285714,1020.7854314285714,34.324822184285715,539.5714285714286,0.043534084117568414,0.04668513374841272,0.012683797360562323,0.028904527519647432,0.45275121187438205,0.5556397836982027,972.8257377777777,754.763414,429.29719059999996
2013-12-04,1079.93122,1031.15439,1076.52087,995.4975,1063.46318,23.27089023,340.0,0.08212511235599007,0.016544730878186975,0.05216151086502441,0.039599790567399706,-0.36916855065594045,-0.07859078590785906,1021.8475928571428,1117.5614128571428,949.0712985714287,1045.0129928571428,35.67114626428572,538.0,0.02887837818890412,0.04121891607611962,0.051071458708386586,0.040464028226127206,0.43667744570063505,0.2700190923570791,1001.1733399999999,788.0365730000001,447.9296382
2013-12-05,1032.05233,1051.2966,1120.0,981.75885,1079.93122,40.35283498,539.0,0.019533651018059484,0.04038856209076558,-0.013800788048186852,0.01548529399955334,0.7340477558515817,0.5852941176470587,1044.3328214285714,1123.1197257142858,962.1797057142858,1057.1531671428572,34.805387687142854,503.2857142857143,0.041214111187408475,0.02933218012530511,0.0509731344288304,0.029676972140861783,0.34453447992840797,0.21730024058872946,1032.0991577777777,820.7520860000001,466.8164626
2013-12-06,864.78197,1088.62278,1110.0,855.7,1032.05233,64.63659979,607.0,0.03550489937853896,-0.008928571428571397,-0.1284010324938757,-0.04433512904645909,0.6017858428543057,0.12615955473098328,1057.714647142857,1126.2033171428573,950.83962,1061.6850814285713,39.32056421714286,526.7142857142857,0.027555161834203905,0.006357242963668448,0.026433144918459068,0.015734727106450106,0.11340598497937233,0.12549651054970534,1047.4527222222223,851.8547025,484.7799142
