date,year,month,day,open,high,low,close,volume,trades,open_yesterday,high_yesterday,low_yesterday,close_yesterday,volume_yesterday,trades_yesterday,open_1D_change,high_1D_change,low_1D_change,close_1D_change,volume_1D_change,trades_1D_change,open_average_7D,high_average_7D,low_average_7D,close_average_7D,volume_average_7D,trades_average_7D,open_%change_7D,high_%change_7D,low_%change_7D,close_%change_7D,volume_%change_7D,trades_%change_7D,moving_average_9,moving_average_20,moving_average_50
2022-01-16,2022,1,16,43111.5,43463.8,42614.9,43114.5,1264.00992817,15131,43090.0,43791.6,42600.0,43111.5,975.55181847,17155.0,0.012690951821386687,0.007326369640076269,0.019138755980861344,0.0004989556741703538,-0.6402780957969633,-0.2899714415794048,42530.299999999996,43455.299999999996,41636.72857142857,42732.32857142857,2707.1854304285994,23637.14285714286,-0.00165487985210222,0.0012841701287580648,0.004249008981295067,0.005461307738176594,-0.013906375382003264,-0.006740302628551552,42482.566666666666,44711.7,48239.617999999995
2022-01-17,2022,1,17,43114.5,43200.6,41579.2,42248.1,1677.42017272,18590,43111.5,43463.8,42614.9,43114.5,1264.00992817,15131.0,0.0004989556741703538,-0.007485453831328259,0.0003497652582160615,6.958700114823024e-05,0.2956871221381159,-0.11798309530749052,42732.91428571428,43552.02857142857,41831.75714285714,42911.12857142858,2601.0990515686,23481.571428571428,0.005461031891210388,0.005087925396824804,0.0073730531133453835,0.004949097937457347,-0.026002616295413387,0.00034992926123597216,42659.333333333336,44333.05500000001,48006.21
2022-01-18,2022,1,18,42248.0,42667.0,41288.0,42383.0,1863.1982201899,19172,43114.5,43200.6,41579.2,42248.1,1677.42017272,18590.0,6.958700114823024e-05,-0.006055614097248863,-0.02430370598077214,-0.02009532755801413,0.327062497957215,0.2286035291785078,42911.114285714284,43689.31428571429,42105.94285714285,42967.24285714286,2250.547321675714,21862.285714285714,0.00494916753329138,0.0023830715616003995,0.004975901907916969,0.004377580638837467,0.047326094720252225,0.03300573594502671,42720.98888888889,44068.05500000001,47705.172
2022-01-19,2022,1,19,42371.3,42577.8,41159.0,41686.2,1920.1883634199,21971,42248.0,42667.0,41288.0,42383.0,1863.1982201899,19172.0,-0.020097646963318616,-0.012351680300736523,-0.007003501750875385,0.0031930430007502952,0.11075224352921298,0.031307154384077496,42967.22857142857,43623.52857142857,42102.014285714286,42917.84285714286,2042.8829158814144,20712.85714285714,0.004363259398755814,0.003344652935202284,0.007009784818943987,0.0015327545585051958,-0.05721240362148526,-0.05504297602189775,42778.77777777778,43863.545,47396.227999999996
2022-01-20,2022,1,20,41686.2,43497.4,40577.1,40686.9,3095.76886468,27631,42371.3,42577.8,41159.0,41686.2,1920.1883634199,21971.0,0.0029184813482294736,-0.002090608667119742,-0.003124394497190486,-0.016440553995705876,0.030587267963465337,0.1459941581472981,42916.15714285715,43370.57142857143,41913.299999999996,42597.614285714284,1910.3424345956857,20226.714285714286,0.001532771650694669,-0.0014228098087326138,4.5722237237533214e-05,-0.00099245637156883,-0.013228066010303796,-0.0376477422472539,42759.98888888888,43590.665,47090.337999999996
2022-01-21,2022,1,21,40686.9,41115.7,35409.7,36468.4,8876.9983110408,59629,41686.2,43497.4,40577.1,40686.9,3095.76886468,27631.0,-0.016168963425715166,0.021598109813095068,-0.014137855633032936,-0.02397196194424045,0.61222144850746,0.2576123071321288,42595.92857142857,43238.75714285715,41659.74285714286,42331.45714285714,1929.7283554814,20544.428571428572,-0.0010320108084010166,-0.005765954223685643,-0.004427126661908508,-0.007349778243373303,0.011336154381640215,-0.007112964860161537,42533.11111111111,43317.51,46759.31800000001
2022-01-22,2022,1,22,36446.2,36814.5,34007.7,35067.6,5382.9173299101,44525,40686.9,41115.7,35409.7,36468.4,8876.9983110408,59629.0,-0.02397196194424045,-0.05475499685038654,-0.12734769118542233,-0.10368202050291375,1.8674615900171174,1.158047120987297,42329.77142857143,42901.985714285714,40746.84285714286,41385.51428571429,2810.447954098657,25611.285714285714,-0.007350534027349674,-0.002911150717540175,-0.006016365656027557,-0.00629361514292927,0.09317352831232213,0.029503001321028628,41704.28888888889,42754.015,46358.157999999996
2022-01-23,2022,1,23,35070.8,36500.0,34613.3,36277.5,2385.56399264,22291,36446.2,36814.5,34007.7,35067.6,5382.9173299101,44525.0,-0.10422765066888862,-0.10461210681078026,-0.039593670660864166,-0.038411336938280916,-0.3936106393965315,-0.2532995690016603,41380.65714285714,41905.25714285714,39519.37142857142,40236.385714285716,3440.0715985901,29521.285714285714,-0.006294370926905641,-0.007687696327664084,-0.022346946829745123,-0.02291832547497219,0.3719277249022319,0.20194424756320178,40872.91111111111,42142.165,45985.93800000001
2022-01-24,2022,1,24,36270.1,37500.0,32940.1,36699.5,7639.6550965202,48013,35070.8,36500.0,34613.3,36277.5,2385.56399264,22291.0,-0.037737816288117676,-0.008542829591601131,0.017807731778391567,0.034501933408616514,-0.5568269311169523,-0.4993599101628299,40231.985714285714,40910.42857142857,38376.28571428572,39259.67142857143,3600.2936078001003,30544.14285714286,-0.0229970284255164,-0.023678907249215016,-0.030737293492848768,-0.02847693870532237,0.4071659329594364,0.2071830865028796,40115.96666666667,41633.41,45726.386000000006
2022-01-25,2022,1,25,36699.5,37552.8,35685.3,36987.8,3186.96357197,26079,36270.1,37500.0,32940.1,36699.5,7639.6550965202,48013.0,0.034196539571381246,0.027397260273972712,-0.0483398000190679,0.011632554613741242,2.202452384463485,1.1539186218653268,39254.21428571428,40096.05714285715,37142.12857142857,38467.014285714286,4452.041454057272,34747.42857142857,-0.028459424420128974,-0.023829960929253997,-0.02824329827568084,-0.023558032075684045,0.2853782110658553,0.1527006843806882,39403.52222222222,41175.46000000001,45471.51
2022-01-26,2022,1,26,36994.6,38899.9,36251.2,36827.6,5526.1969408302,39968,36699.5,37552.8,35685.3,36987.8,3186.96357197,26079.0,0.011838952746201503,0.0014080000000000759,0.08333915197585928,0.007855692856850949,-0.5828393387259543,-0.45683460729385794,38461.57142857143,39365.45714285714,36341.74285714286,37696.27142857143,4641.1507900258575,35734.142857142855,-0.02358414548152426,-0.019050978876222344,-0.031677025995437376,-0.019025477479718993,0.5532910519953225,0.2848885547645195,38722.77777777778,40854.35,45199.98
