date,actual_price,predicted_price,difference
2021-03-14,59001.1,60458.999398520784,-1457.8993985207853
2021-03-15,55600.0,59997.67468049134,-4397.674680491342
2021-03-16,56891.1,56795.22010497424,95.8798950257551
2021-03-17,58933.0,56067.899265486965,2865.1007345130347
2021-03-18,57640.9,57934.36893320603,-293.46893320602976
2021-03-19,58101.8,58275.03808444041,-173.2380844404106
2021-03-20,58091.6,58161.38995387529,-69.78995387528994
2021-03-21,57378.4,58535.733702947866,-1157.3337029478644
2021-03-22,54095.1,57436.97719081007,-3341.877190810068
2021-03-23,54351.3,55143.74673423047,-792.4467342304706
2021-03-24,52293.8,54427.53398450393,-2133.733984503924
2021-03-25,51314.9,53287.9207196842,-1973.020719684202
2021-03-26,55062.2,51550.46064431853,3511.739355681464
2021-03-27,55852.4,54154.75759514516,1697.6424048548433
2021-03-28,55782.0,55682.45159074223,99.54840925776807
2021-03-29,57624.2,55806.30745291199,1817.8925470880058
2021-03-30,58781.0,57346.312000672755,1434.687999327245
2021-03-31,58786.2,58687.17608244285,99.0239175571478
2021-04-01,58732.9,58769.66413878395,-36.76413878394669
2021-04-02,59020.7,58902.49832653934,118.20167346065864
2021-04-03,57099.0,59314.69258512276,-2215.692585122757
2021-04-04,58195.0,57834.88425327199,360.1157467280136
2021-04-05,59120.0,57948.76963324357,1171.2303667564265
2021-04-06,58017.1,58738.281866301215,-721.1818663012164
2021-04-07,55928.5,58317.54168128561,-2389.041681285613
2021-04-08,58036.9,56543.12537061742,1493.774629382584
2021-04-09,58110.0,57557.812852313,552.1871476870001
2021-04-10,59775.6,58245.951963175714,1529.6480368242846
2021-04-11,59956.0,59795.867725308504,160.1322746914957
2021-04-12,59823.7,60083.25086737033,-259.5508673703298
2021-04-13,63587.2,60199.88160291225,3387.3183970877435
2021-04-14,62969.0,62949.96269216681,19.037307833190425
2021-04-15,63243.0,63316.059578669476,-73.05957866947574
2021-04-16,61455.0,63343.20153779151,-1888.2015377915086
2021-04-17,60085.2,61900.99712299528,-1815.7971229952818
2021-04-18,56239.8,60739.13145216364,-4499.331452163635
2021-04-19,55720.0,56132.45938944108,-412.4593894410791
2021-04-20,56500.0,55839.844197773855,660.1558022261452
2021-04-21,53815.2,55939.52909338586,-2124.329093385866
2021-04-22,51730.0,54446.458042529746,-2716.4580425297463
2021-04-23,51178.7,52275.51752730123,-1096.8175273012312
2021-04-24,50093.4,50527.71560645434,-434.3156064543364
2021-04-25,49106.5,49941.56163910609,-835.0616391060903
2021-04-26,54051.9,48842.56948140303,5209.330518596973
2021-04-27,55078.7,52817.95790464834,2260.7420953516557
2021-04-28,54899.3,54802.48089415922,96.81910584078287
2021-04-29,53579.6,55102.76828687072,-1523.1682868707212
2021-04-30,57780.0,53747.5982213808,4032.401778619198
2021-05-01,57859.2,56748.759112605054,1110.4408873949433
2021-05-02,56618.5,57976.922572102034,-1358.4225721020339
2021-05-03,57193.5,56939.86387155803,253.63612844196905
2021-05-04,53239.4,57527.92243039746,-4288.522430397461
2021-05-05,57497.1,54194.18944766202,3302.9105523379767
2021-05-06,56421.1,56549.653187905365,-128.55318790536694
2021-05-07,57383.0,56729.48904202496,653.5109579750424
2021-05-08,58953.8,57286.319229830886,1667.480770169117
2021-05-09,58293.1,58740.477136777205,-447.37713677720603
2021-05-10,55888.1,58215.662392440965,-2327.5623924409665
2021-05-11,56747.5,56286.99570301884,460.50429698116204
2021-05-12,49502.7,56354.327788658455,-6851.627788658458
2021-05-13,49675.2,51225.33562083701,-1550.1356208370125
2021-05-14,49899.0,48900.96544535812,998.034554641883
2021-05-15,46771.1,49929.12056524858,-3158.020565248582
2021-05-16,46482.4,47513.78113331656,-1031.3811333165577
2021-05-17,43551.8,46433.8704359859,-2882.0704359858937
2021-05-18,42895.2,43791.78758527657,-896.5875852765748
2021-05-19,36742.3,43215.644146861145,-6473.344146861142
2021-05-20,40614.6,36622.496724414654,3992.103275585345
2021-05-21,37331.7,39499.32856741479,-2167.628567414795
2021-05-22,37468.3,37418.54143656783,49.758563432173105
2021-05-23,34718.8,37055.61990804605,-2336.819908046047
2021-05-24,38833.8,34516.35152796398,4317.44847203602
2021-05-25,38388.1,37861.751241629,526.3487583710012
2021-05-26,39283.9,38211.55187610032,1072.3481238996828
2021-05-27,38516.4,39252.32264849554,-735.9226484955361
2021-05-28,35683.9,38552.180789977414,-2868.2807899774125
